County,m1502
Adams,"$434,375"
Alamosa,NR
Arapahoe,"$1,402,007"
Archuleta,NR
Boulder,"$2,257,951"
Chaffee,NR
Clear Creek,"$77,001"
Costilla,NR
Denver,"$12,841,486"
Eagle,"$292,481"
El Paso,"$5,578,020"
Fremont,"$175,136"
Garfield,"$348,057"
Gilpin,"$28,410"
Grand,NR
Gunnison,NR
Jefferson,"$1,700,441"
La Plata,"$892,507"
Larimer,"$1,111,034"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$104,595"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$75,050"
Pueblo,"$358,140"
Routt,NR
San Miguel,"$41,195"
Sedgwick,NR
Summit,"$246,053"
Teller,NR
Weld,"$364,563 "
Sum of NR Counties,737571
Total,29066073
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
