County,m1805
Adams,"$390,116"
Alamosa,NR
Arapahoe,"$842,104"
Archuleta,NR
Boulder,"$1,540,156"
Chaffee,NR
Clear Creek,"$28,054"
Denver,"$11,380,605"
Eagle,"$96,713"
El Paso,"$7,332,608"
Fremont,"$147,909"
Garfield,"$252,772"
Gilpin,NR
Grand,NR
Jefferson,"$1,262,338"
La Plata,"$257,014"
Larimer,"$984,003"
Las Animas,"$44,907"
Mesa,NR
Moffat,NR
Montezuma,"$47,400"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$46,482"
Pueblo,"$436,538"
Routt,"$152,758"
San Miguel,NR
Sedgwick,NR
Summit,"$103,122"
Weld,"$331,438"
Sum of NR Counties,"$548,739"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
