County,m1701
Adams,"$520,138"
Alamosa,NR
Arapahoe,"$1,137,598"
Archuleta,NR
Boulder,"$1,943,678"
Chaffee,NR
Clear Creek,"$52,434"
Costilla,NR
Denver,"$15,275,938"
Eagle,"$135,334"
El Paso,"$7,656,270"
Fremont,NR
Garfield,"$308,266"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,370,186"
La Plata,"$301,119"
Larimer,"$1,099,359"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$55,703"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$66,911"
Pueblo,"$515,017"
Routt,"$186,048"
San Miguel,"$35,319"
Sedgwick,NR
Summit,NR
Teller,NR
Weld,267811
Sum of NR Counties,785479
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
