County,r1503
Adams,"$1,497,796"
Arapahoe,"$2,615,133"
Archuleta,NR
Boulder,"$3,856,723"
Chaffee,NR
Clear Creek,"$485,304"
Costilla,NR
Denver,"$17,121,933"
Eagle,"$862,396"
El Paso,NR
Garfield,"$642,659"
Gilpin,"$117,004"
Grand,NR
Gunnison,"$296,334"
Jefferson,"$2,224,610"
Lake,NR
La Plata,"$1,020,552"
Larimer,"$1,943,174"
Las Animas,"$415,008"
Mesa,NR
Montezuma,"$254,446"
Morgan,NR
Ouray,NR
Park,"$146,105"
Pitkin,"$896,693"
Pueblo,"$1,355,119"
Routt,"$616,913"
Saguache,NR
San Juan,NR
San Miguel,"$375,409"
Sedgwick,NR
Summit,"$1,727,608"
Weld,"$1,443,488"
Sum of NR Counties,"$3,038,219"
Total,"$42,952,626"
,
,
