County,m1507
Adams,"$456,679"
Alamosa,NR
Arapahoe,"$1,629,440"
Archuleta,NR
Boulder,"$2,638,188"
Chaffee,NR
Clear Creek,"$97,914"
Costilla,NR
Denver,"$19,786,382"
Eagle,"$310,266"
El Paso,"$8,504,081"
Fremont,"$242,306"
Garfield,"$481,231"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$2,038,463"
La Plata,"$486,029"
Larimer,"$1,401,524"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$142,880"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$94,939"
Pueblo,"$699,033"
Routt,"$186,072"
San Miguel,"$51,293"
Sedgwick,NR
Summit,"$246,327"
Teller,NR
Weld,"$364,477 "
Sum of NR Counties,753615
Total,40611139
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
