County,r1806
Adams,"$7,071,943 "
Arapahoe,"$10,003,372 "
Archuleta,"$834,469 "
Boulder,"$7,752,657 "
Chaffee,"$578,419 "
Clear Creek,"$633,162 "
Conejos,"$558,542 "
Costilla,"$408,573 "
Denver,"$32,336,676 "
Eagle,"$1,273,668 "
El Paso,NR
Garfield,"$1,711,546 "
Gilpin,"$240,622 "
Grand,"$471,237 "
Gunnison,"$697,112 "
Huerfano,NR
Jefferson,"$4,376,615 "
Lake,NR
La Plata,"$2,045,737 "
Larimer,"$6,087,233 "
Las Animas,"$4,436,437 "
Mesa,"$1,654,095 "
Moffat,NR
Montezuma,"$2,023,138 "
Morgan,"$1,067,039 "
Ouray,"$666,243 "
Park,"$409,810 "
Pitkin,"$919,527 "
Pueblo,"$4,836,544 "
Routt,"$899,556 "
Saguache,"$173,495 "
San Juan,NR
San Miguel,"$453,787 "
Sedgwick,NR
Summit,"$1,668,835 "
Weld,"$2,379,519 "
Sum of NR Counties,"$3,756,456 "
