County,r1603
Adams,"$2,909,379"
Arapahoe,"$7,112,616"
Archuleta,NR
Boulder,"$5,138,199"
Chaffee,"$350,973"
Clear Creek,"$561,094"
Conejos,"$211,950"
Costilla,"$195,952"
Denver,"$21,459,311"
Eagle,"$1,283,537"
El Paso,NR
Garfield,"$1,095,523"
Gilpin,"$188,204"
Grand,"$360,353"
Gunnison,"$490,823"
Huerfano,NR
Jefferson,"$3,327,498"
Lake,NR
La Plata,"$1,679,875"
Larimer,"$3,197,373"
Las Animas,"$1,284,687"
Mesa,NR
Montezuma,"$728,890"
Morgan,NR
Ouray,NR
Park,"$229,022"
Pitkin,"$1,082,334"
Pueblo,"$2,074,591"
Routt,"$759,132"
Saguache,NR
San Juan,NR
San Miguel,NR
Sedgwick,NR
Summit,"$2,395,692"
Weld,"$2,034,731"
Sum of NR Counties,"$4,969,649"
Total,"$65,121,388 "
