County,m1412
Adams,"$470,394"
Alamosa,NR
Arapahoe,"$1,498,465"
Archuleta,NR
Boulder,"$2,548,354"
Chaffee,NR
Clear Creek,"$83,182"
Costilla,NR
Denver,"$12,138,739"
Eagle,"$277,950"
El Paso,"$5,517,533"
Fremont,"$178,729"
Garfield,"$283,365"
Gilpin,"$34,112"
Grand,NR
Gunnison,NR
Jefferson,"$1,832,756"
La Plata,"$497,203"
Larimer,"$1,316,194"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$117,849"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$84,226"
Pueblo,"$399,460"
Routt,"$169,025"
San Miguel,"$43,788"
Sedgwick,NR
Summit,"$205,226"
Teller,NR
Weld,"$394,521 "
Sum of NR Counties,569648
Total,28660719
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
