County,r1811
Adams,"$7,404,234 "
Arapahoe,"$10,251,205 "
Archuleta,"$629,695 "
Boulder,"$7,404,306 "
Chaffee,"$379,794 "
Clear Creek,"$478,979 "
Conejos,"$448,685 "
Costilla,"$293,351 "
Denver,"$31,470,367 "
Eagle,"$1,073,888 "
El Paso,NR
Garfield,"$1,540,424 "
Gilpin,"$171,444 "
Grand,"$385,453 "
Gunnison,"$459,020 "
Huerfano,NR
Jefferson,"$4,135,774 "
Lake,"$193,034 "
La Plata,"$1,916,314 "
Larimer,"$6,471,039 "
Las Animas,"$4,067,789 "
Mesa,"$1,553,111 "
Moffat,"$500,264 "
Montezuma,"$1,751,540 "
Morgan,NR
Otero,NR
Ouray,"$549,988 "
Park,"$324,363 "
Pitkin,"$599,002 "
Pueblo,"$4,868,317 "
Routt,"$758,528 "
Saguache,"$139,665 "
San Juan,NR
San Miguel,"$200,869 "
Sedgwick,NR
Summit,"$1,504,585 "
Weld,"$2,346,003 "
Sum of NR Counties,"$3,606,054 "
