County,m1804
Adams,"$417,502"
Alamosa,NR
Arapahoe,"$741,609"
Archuleta,NR
Boulder,"$1,601,589"
Chaffee,NR
Clear Creek,NR
Denver,"$11,689,420"
Eagle,"$97,151"
El Paso,"$7,826,668"
Fremont,"$141,438"
Garfield,"$252,013"
Gilpin,NR
Grand,NR
Jefferson,"$1,084,394"
La Plata,"$228,755"
Larimer,"$1,108,635"
Las Animas,"$34,180"
Mesa,NR
Moffat,NR
Montezuma,"$45,539"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$54,543"
Pueblo,"$478,009"
Routt,"$157,073"
San Miguel,NR
Sedgwick,NR
Summit,"$113,189"
Weld,"$375,487"
Sum of NR Counties,"$571,880"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
