County,m1503
Adams,"$479,975"
Alamosa,NR
Arapahoe,"$1,562,845"
Archuleta,NR
Boulder,"$2,525,620"
Chaffee,NR
Clear Creek,"$82,344"
Costilla,NR
Denver,"$14,406,613"
Eagle,"$337,864"
El Paso,"$6,380,331"
Fremont,"$194,875"
Garfield,"$379,738"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,861,813"
La Plata,"$1,017,530"
Larimer,"$1,320,406"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$133,639"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$85,006"
Pueblo,"$463,245"
Routt,"$199,449"
San Miguel,"$50,730"
Sedgwick,NR
Summit,"$292,686"
Teller,NR
Weld,"$386,290 "
Sum of NR Counties,659549
Total,32820548
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
