County,r1610
Adams,"$4,578,245"
Arapahoe,"$8,954,428"
Archuleta,NR
Boulder,"$5,993,882"
Chaffee,"$352,254"
Clear Creek,"$486,814"
Conejos,"$380,038"
Costilla,"$265,876"
Denver,"$28,578,229"
Eagle,"$852,099"
El Paso,NR
Garfield,"$1,608,072"
Gilpin,"$253,131"
Grand,"$258,512"
Gunnison,"$481,440"
Huerfano,NR
Jefferson,"$4,226,976"
Lake,"$198,027"
La Plata,"$1,954,316"
Larimer,"$4,204,839"
Las Animas,"$2,343,718"
Mesa,NR
Montezuma,"$1,412,949"
Morgan,"$621,119"
Ouray,"$404,670"
Park,"$304,140"
Pitkin,"$527,278"
Pueblo,"$2,730,719"
Routt,"$665,803"
Saguache,NR
San Juan,NR
San Miguel,"$242,681"
Sedgwick,NR
Summit,"$1,235,632"
Weld,"$2,535,546"
Sum of NR Counties,"$4,043,880"
Total,"$80,695,313 "
