County,m1609
Adams,"$412,289"
Alamosa,NR
Arapahoe,"$1,493,979"
Archuleta,NR
Boulder,"$2,337,601"
Chaffee,NR
Clear Creek,"$76,291"
Costilla,NR
Denver,"$19,190,347"
Eagle,"$191,615"
El Paso,"$9,387,013"
Fremont,"$239,079"
Garfield,"$425,704"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,611,356"
La Plata,"$442,682"
Larimer,"$1,335,581"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$84,028"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$79,255"
Pueblo,"$924,444"
Routt,NR
San Miguel,"$52,220"
Sedgwick,NR
Summit,"$142,523"
Teller,NR
Weld,"$356,553 "
Sum of NR Counties,889923
Total,39672483
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
