County,m1703
Adams,"$913,402"
Alamosa,NR
Arapahoe,"$1,334,138"
Archuleta,NR
Boulder,"$1,997,004"
Chaffee,NR
Clear Creek,"$64,572"
Costilla,NR
Denver,"$17,960,587"
Eagle,"$163,530"
El Paso,"$9,287,927"
Fremont,"$182,868"
Garfield,"$336,144"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,607,995"
La Plata,"$338,875"
Larimer,"$1,197,682"
Las Animas,"$35,131"
Mesa,NR
Moffat,NR
Montezuma,"$63,516"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$74,384"
Pueblo,"$676,620"
Routt,NR
San Miguel,"$27,209"
Sedgwick,NR
Summit,"$158,399"
Teller,NR
Weld,297470
Sum of NR Counties,734230
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
