County,m1708
Adams,"$1,126,750"
Alamosa,NR
Arapahoe,"$911,448"
Archuleta,NR
Boulder,"$1,883,573"
Chaffee,NR
Clear Creek,"$43,341"
Costilla,NR
Denver,"$18,574,912"
Eagle,"$154,928"
El Paso,"$8,645,974"
Fremont,"$184,251"
Garfield,"$325,823"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,353,370"
La Plata,"$298,055"
Larimer,"$1,206,766"
Las Animas,"$45,309"
Mesa,NR
Moffat,NR
Montezuma,"$93,411"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$66,581"
Pueblo,"$737,016"
Routt,NR
San Miguel,"$21,450"
Sedgwick,NR
Summit,"$112,638"
Teller,NR
Weld,315417
Sum of NR Counties,820062
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
