County,m1510
Adams,"$435,580"
Alamosa,NR
Arapahoe,"$1,743,830"
Archuleta,NR
Boulder,"$2,816,381"
Chaffee,NR
Clear Creek,"$87,040"
Costilla,NR
Denver,"$16,398,610"
Eagle,"$294,270"
El Paso,"$8,065,363"
Fremont,"$178,145"
Garfield,"$404,126"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,881,358"
La Plata,"$404,921"
Larimer,"$1,452,878"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$106,843"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$80,160"
Pueblo,"$863,610"
Routt,"$201,592"
San Miguel,"$50,875"
Sedgwick,NR
Summit,"$215,459"
Teller,NR
Weld,"$418,307 "
Sum of NR Counties,643432
Total,36742780
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
