County,m1404
Adams,"$452,636"
Alamosa,NR
Arapahoe,"$1,517,828"
Archuleta,NR
Boulder,"$3,136,133"
Chaffee,NR
Clear Creek,"$92,791"
Costilla,NR
Denver,"$15,064,678"
Eagle,"$178,397"
El Paso,"$5,535,184"
Fremont,"$225,243"
Garfield,"$371,447"
Gilpin,"$43,162"
Grand,NR
Gunnison,NR
Jefferson,"$2,039,086"
La Plata,"$613,521"
Larimer,"$1,162,178"
Mesa,NR
Moffat,NR
Montezuma,"$108,703"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$123,525"
Pueblo,"$401,959"
Routt,"$186,308"
San Miguel,"$64,107"
Sedgwick,NR
Summit,"$243,097"
Teller,NR
Weld,"$519,545"
Sum of NR Counties,"$607,341"
Total,"$32,686,869 "
