County,m19904
Adams,"$657,538"
Alamosa,NR
Arapahoe,"$861,301"
Boulder,"$1,167,776"
Chaffee,NR
Clear Creek,NR
Denver,"$12,355,779"
Eagle,"$90,807"
El Paso,"$8,471,384"
Fremont,NR
Garfield,"$115,501"
Grand,NR
Jefferson,"$1,221,673"
La Plata,NR
Larimer,"$801,662"
Las Animas,"$34,184"
Mesa,NR
Montezuma,"$47,348"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$60,498"
Pueblo,"$719,742"
Routt,"$141,676"
San Miguel,NR
Sedgwick,NR
Summit,"$92,687"
Weld,"$318,358"
Sum of NR Counties,"$785,480"
