County,m1501
Adams,"$421,362"
Alamosa,NR
Arapahoe,"$1,493,744"
Archuleta,NR
Boulder,"$2,501,072"
Chaffee,NR
Clear Creek,"$79,640"
Costilla,NR
Denver,"$13,374,117"
Eagle,"$316,095"
El Paso,"$5,582,451"
Fremont,"$180,201"
Garfield,"$325,730"
Gilpin,"$31,006"
Grand,NR
Gunnison,NR
Jefferson,"$1,868,844"
La Plata,"$893,330"
Larimer,"$1,141,214"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$114,767"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$90,522"
Pueblo,"$359,950"
Routt,NR
San Miguel,"$50,579"
Sedgwick,NR
Summit,"$255,639"
Teller,NR
Weld,"$340,278 "
Sum of NR Counties,761292
Total,30181833
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
