County,r1607
Adams,"$4,154,813"
Arapahoe,"$8,738,376"
Archuleta,NR
Boulder,"$6,365,624"
Chaffee,NR
Clear Creek,"$672,704"
Conejos,"$436,196"
Costilla,"$383,906"
Denver,"$25,938,973"
Eagle,"$1,111,856"
El Paso,NR
Garfield,"$1,628,885"
Gilpin,"$267,260"
Grand,"$381,080"
Gunnison,"$459,794"
Huerfano,NR
Jefferson,"$4,318,330"
Lake,"$274,691"
La Plata,"$2,306,604"
Larimer,"$4,181,160"
Las Animas,"$2,179,979"
Mesa,NR
Montezuma,"$1,187,679"
Morgan,"$634,140"
Ouray,"$505,470"
Park,"$381,198"
Pitkin,"$1,062,245"
Pueblo,"$2,995,085"
Routt,"$882,414"
Saguache,NR
San Juan,NR
San Miguel,"$446,217"
Sedgwick,NR
Summit,"$1,760,408"
Weld,"$2,381,224"
Sum of NR Counties,"$5,442,136"
Total,"$81,478,447 "
