County,m1505
Adams,"$495,716"
Alamosa,NR
Arapahoe,"$1,588,756"
Archuleta,NR
Boulder,"$2,451,648"
Chaffee,NR
Clear Creek,"$96,276"
Costilla,NR
Denver,"$15,598,475"
Eagle,"$259,399"
El Paso,"$6,793,848"
Fremont,"$200,945"
Garfield,"$407,487"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,933,694"
La Plata,"$452,253"
Larimer,"$1,292,742"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$136,143"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$57,287"
Pueblo,"$396,182"
Routt,"$163,870"
San Miguel,NR
Sedgwick,NR
Summit,"$224,409"
Teller,NR
Weld,"$342,765 "
Sum of NR Counties,717221
Total,33609116
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
