County,r1510
Adams,"$2,446,592"
Arapahoe,"$5,728,782"
Archuleta,NR
Boulder,"$4,777,912"
Chaffee,"$325,900"
Clear Creek,"$419,695"
Conejos,NR
Costilla,NR
Denver,"$19,085,375"
Eagle,"$590,827"
El Paso,NR
Garfield,"$872,142"
Gilpin,"$185,948"
Grand,"$166,746"
Gunnison,NR
Huerfano,NR
Jefferson,"$3,091,341"
Lake,NR
La Plata,"$1,541,740"
Larimer,"$2,885,257"
Las Animas,"$1,035,512"
Mesa,NR
Montezuma,"$627,049"
Morgan,NR
Ouray,NR
Park,"$201,525"
Pitkin,"$443,764"
Pueblo,"$1,710,792"
Routt,"$563,187"
Saguache,NR
San Juan,NR
San Miguel,"$195,014"
Sedgwick,NR
Summit,"$968,236"
Weld,"$1,908,470"
Sum of NR Counties,"$4,695,958"
Total,"$54,467,764 "
