County,r1712
Adams,"$6,120,302 "
Arapahoe,"$9,761,509 "
Archuleta,"$732,699 "
Boulder,"$6,814,221 "
Chaffee,"$398,262 "
Clear Creek,"$574,268 "
Conejos,"$434,200 "
Costilla,"$273,773 "
Denver,"$32,265,126 "
Eagle,"$1,531,387 "
El Paso,NR
Garfield,"$1,681,605 "
Gilpin,"$179,250 "
Grand,"$435,934 "
Gunnison,"$397,636 "
Huerfano,NR
Jefferson,"$4,291,144 "
Lake,"$206,999 "
La Plata,"$2,010,428 "
Larimer,"$5,490,891 "
Las Animas,"$4,019,496 "
Mesa,"$1,063,973 "
Montezuma,"$1,687,019 "
Morgan,"$920,406 "
Ouray,"$442,518 "
Park,"$367,718 "
Pitkin,"$1,271,300 "
Pueblo,"$3,707,967 "
Routt,"$956,589 "
Saguache,"$98,676 "
San Juan,NR
San Miguel,"$395,334 "
Sedgwick,NR
Summit,"$2,533,302 "
Weld,"$2,571,924 "
Sum of NR Counties,"$2,712,201 "
