County,r1802
Adams,"$5,562,602 "
Arapahoe,"$8,659,080 "
Archuleta,"$568,046 "
Boulder,"$5,937,258 "
Chaffee,"$364,706 "
Clear Creek,"$578,860 "
Conejos,"$383,902 "
Costilla,"$254,480 "
Denver,"$27,629,202 "
Eagle,"$1,633,799 "
El Paso,NR
Garfield,"$1,361,931 "
Gilpin,"$162,046 "
Grand,"$455,352 "
Gunnison,"$518,883 "
Huerfano,NR
Jefferson,"$3,648,040 "
Lake,"$197,617 "
La Plata,"$1,752,698 "
Larimer,"$4,825,740 "
Las Animas,"$3,477,803 "
Mesa,"$1,179,371 "
Montezuma,"$1,646,139 "
Morgan,"$821,939 "
Ouray,"$436,779 "
Park,"$303,972 "
Pitkin,"$1,215,285 "
Pueblo,"$3,697,366 "
Routt,"$1,072,374 "
Saguache,"$98,025 "
San Juan,NR
San Miguel,"$428,164 "
Sedgwick,NR
Summit,"$2,548,153 "
Weld,"$2,298,788 "
Sum of NR Counties,"$2,150,815 "
