County,r1501
Adams,"$1,189,877"
Arapahoe,"$1,844,768"
Archuleta,NR
Boulder,"$3,565,252"
Chaffee,NR
Clear Creek,"$455,108"
Costilla,NR
Denver,"$15,485,689"
Eagle,"$825,587"
El Paso,NR
Garfield,"$616,641"
Gilpin,"$112,455"
Grand,NR
Gunnison,"$273,043"
Jefferson,"$2,108,127"
Lake,NR
La Plata,"$798,627"
Larimer,"$1,728,021"
Las Animas,"$224,113"
Mesa,NR
Montezuma,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$813,722"
Pueblo,"$1,063,092"
Routt,NR
Saguache,NR
San Juan,NR
San Miguel,"$374,588"
Sedgwick,NR
Summit,"$1,685,111"
Weld,"$1,199,406"
Sum of NR Counties,"$2,860,806"
Total,"$37,224,033"
,
,
