County,m1411
Adams,"$480,189"
Alamosa,NR
Arapahoe,"$1,345,048"
Archuleta,NR
Boulder,"$2,400,813"
Chaffee,NR
Clear Creek,"$91,727"
Costilla,NR
Denver,"$13,469,383"
Eagle,"$210,732"
El Paso,"$5,223,552"
Fremont,"$159,257"
Garfield,"$318,967"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,837,165"
La Plata,"$459,409"
Larimer,"$1,185,998"
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$72,294"
Pueblo,"$324,106"
Routt,NR
San Miguel,"$26,291"
Sedgwick,NR
Summit,"$163,698"
Teller,NR
Weld,"$416,639"
Sum of NR Counties,"$793,194 "
Total,28978462
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
