County,r1609
Adams,"$4,668,880"
Arapahoe,"$9,183,907"
Archuleta,NR
Boulder,"$6,306,894"
Chaffee,"$489,993"
Clear Creek,"$608,871"
Conejos,"$435,435"
Costilla,"$342,066"
Denver,"$29,423,313"
Eagle,"$995,070"
El Paso,NR
Garfield,"$1,754,542"
Gilpin,"$300,505"
Grand,NR
Gunnison,"$627,401"
Huerfano,NR
Jefferson,"$4,537,417"
Lake,"$251,980"
La Plata,"$2,226,213"
Larimer,"$4,343,498"
Las Animas,"$2,485,885"
Mesa,NR
Montezuma,"$1,439,910"
Morgan,"$652,609"
Ouray,"$515,896"
Park,"$359,173"
Pitkin,"$852,785"
Pueblo,"$3,140,055"
Routt,"$835,572"
Saguache,NR
San Juan,NR
San Miguel,"$437,620"
Sedgwick,NR
Summit,"$1,412,253"
Weld,"$2,567,248"
Sum of NR Counties,"$4,942,418"
Total,"$86,137,409 "
