County,r1710
Adams,"$5,441,728 "
Arapahoe,"$9,221,783 "
Archuleta,"$574,929 "
Boulder,"$6,744,069 "
Chaffee,"$452,091 "
Clear Creek,"$485,097 "
Conejos,"$469,150 "
Costilla,"$356,750 "
Denver,"$33,586,096 "
Eagle,"$982,903 "
El Paso,NR
Garfield,"$1,773,496 "
Gilpin,"$197,522 "
Grand,NR
Gunnison,"$562,053 "
Huerfano,NR
Jefferson,"$4,104,272 "
Lake,"$205,966 "
La Plata,"$1,971,031 "
Larimer,"$5,315,541 "
Las Animas,"$4,192,076 "
Mesa,"$1,007,121 "
Montezuma,"$1,759,476 "
Morgan,"$944,046 "
Ouray,"$504,899 "
Park,"$344,712 "
Pitkin,"$703,705 "
Pueblo,"$3,525,795 "
Routt,"$771,913 "
Saguache,"$117,885 "
San Juan,NR
San Miguel,"$266,043 "
Sedgwick,NR
Summit,"$1,295,739 "
Weld,"$2,554,620 "
Sum of NR Counties,"$3,191,412 "
