County,r1602
Adams,"$2,597,102"
Arapahoe,"$6,229,934"
Archuleta,NR
Boulder,"$4,477,304"
Chaffee,"$281,840"
Clear Creek,"$535,811"
Conejos,"$163,449"
Costilla,"$153,417"
Denver,"$19,129,746"
Eagle,"$1,176,777"
El Paso,NR
Garfield,"$860,185"
Gilpin,"$172,887"
Grand,"$279,018"
Gunnison,"$413,264"
Huerfano,NR
Jefferson,"$2,970,642"
Lake,NR
La Plata,"$1,484,507"
Larimer,"$2,878,307"
Las Animas,"$1,012,648"
Mesa,NR
Montezuma,"$600,808"
Morgan,NR
Ouray,NR
Park,"$176,302"
Pitkin,"$964,350"
Pueblo,"$1,686,427"
Routt,"$772,020"
Saguache,NR
San Juan,NR
San Miguel,"$339,892"
Sedgwick,NR
Summit,"$2,116,576"
Weld,"$1,866,786"
Sum of NR Counties,"$3,705,315"
Total,"$57,045,314 "
