County,m1603
Adams,"$347,344"
Alamosa,NR
Arapahoe,"$1,601,551"
Archuleta,NR
Boulder,"$2,718,254"
Chaffee,NR
Clear Creek,"$87,829"
Costilla,NR
Denver,"$17,353,519"
Eagle,"$264,913"
El Paso,"$8,537,583"
Fremont,"$207,942"
Garfield,"$425,553"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,715,396"
La Plata,"$404,686"
Larimer,"$1,401,215"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$102,939"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$103,033"
Pueblo,"$1,240,646"
Routt,"$220,567"
San Miguel,NR
Sedgwick,NR
Summit,NR
Teller,NR
Weld,NR
Sum of NR Counties,1383203
Total,38116173
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
