County,m1707
Adams,"$971,747"
Alamosa,NR
Arapahoe,"$953,749"
Archuleta,NR
Boulder,"$1,851,637"
Chaffee,NR
Clear Creek,"$34,954"
Costilla,NR
Denver,"$17,274,275"
Eagle,"$142,382"
El Paso,"$8,717,083"
Fremont,"$184,871"
Garfield,"$307,082"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,282,271"
La Plata,"$297,527"
Larimer,"$1,186,223"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$73,002"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$74,079"
Pueblo,"$684,190"
Routt,NR
San Miguel,"$26,729"
Sedgwick,NR
Summit,"$119,533"
Teller,NR
Weld,288400
Sum of NR Counties,787260
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
