County,m1803
Adams,"$455,735"
Alamosa,NR
Arapahoe,"$831,623"
Archuleta,NR
Boulder,"$1,691,157"
Chaffee,NR
Clear Creek,"$42,961"
Denver,"$12,756,286"
Eagle,"$107,351"
El Paso,"$8,239,341"
Fremont,"$120,020"
Garfield,"$288,623"
Gilpin,NR
Grand,NR
Jefferson,"$1,413,017"
La Plata,"$251,773"
Larimer,"$1,151,055"
Las Animas,"$32,453"
Mesa,NR
Moffat,NR
Montezuma,"$57,109"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,NR
Pueblo,"$574,112"
Routt,"$168,347"
San Miguel,NR
Sedgwick,NR
Summit,"$121,159"
Weld,"$370,633"
Sum of NR Counties,"$565,925"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
