County,m1410
Adams,"$474,637"
Alamosa,NR
Arapahoe,"$1,396,842"
Archuleta,NR
Boulder,"$2,660,593"
Chaffee,NR
Clear Creek,"$102,858"
Costilla,NR
Denver,"$15,006,222"
Eagle,"$206,273"
El Paso,"$5,742,846"
Fremont,"$174,220"
Garfield,"$389,617"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,923,839"
La Plata,"$531,825"
Larimer,"$1,232,929"
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$86,614"
Pueblo,"$352,545"
Routt,NR
San Miguel,"$36,239"
Sedgwick,NR
Summit,"$178,233"
Teller,NR
Weld,"$361,629"
Sum of NR Counties,"$921,255 "
Total,31779216
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
