County,r1803
Adams,"$6,602,994 "
Arapahoe,"$9,956,392 "
Archuleta,"$785,123 "
Boulder,"$7,245,363 "
Chaffee,"$469,806 "
Clear Creek,"$709,544 "
Conejos,"$482,119 "
Costilla,"$335,071 "
Denver,"$34,757,371 "
Eagle,"$1,888,834 "
El Paso,NR
Garfield,"$1,625,638 "
Gilpin,"$223,369 "
Grand,NR
Gunnison,NR
Huerfano,NR
Jefferson,"$4,318,064 "
Lake,"$240,748 "
La Plata,"$2,154,494 "
Larimer,"$5,839,729 "
Las Animas,"$4,619,588 "
Mesa,"$1,535,841 "
Moffat,NR
Montezuma,"$2,033,604 "
Morgan,"$1,062,942 "
Ouray,NR
Park,"$386,538 "
Pitkin,"$1,517,035 "
Pueblo,"$4,770,132 "
Routt,"$1,153,952 "
Saguache,"$137,847 "
San Juan,NR
San Miguel,"$503,751 "
Sedgwick,NR
Summit,"$3,061,330 "
Weld,"$2,681,871 "
Sum of NR Counties,"$4,846,188 "
