County,r1703
Adams,"$5,044,686 "
Arapahoe,"$10,106,784 "
Archuleta,"$605,222 "
Boulder,"$6,322,530 "
Chaffee,"$423,717 "
Clear Creek,"$640,228 "
Conejos,"$401,292 "
Costilla,"$295,783 "
Denver,"$30,626,743 "
Eagle,"$1,472,005 "
El Paso,NR
Garfield,"$1,854,980 "
Gilpin,"$216,220 "
Grand,"$452,276 "
Gunnison,"$617,409 "
Huerfano,NR
Jefferson,"$4,831,958 "
La Plata,"$2,125,562 "
Lake,NR
Larimer,"$4,573,556 "
Las Animas,"$3,349,342 "
Mesa,NR
Montezuma,"$1,684,919 "
Morgan,NR
Ouray,NR
Park,"$356,540 "
Pitkin,"$1,277,247 "
Pueblo,"$3,341,395 "
Routt,"$1,010,851 "
Saguache,NR
San Juan,NR
San Miguel,"$477,587 "
Sedgwick,NR
Summit,"$2,854,198 "
Weld,"$2,751,277 "
Sum of NR Counties,"$5,197,840 "
