County,r1901
Adams,"$7,196,545 "
Arapahoe,"$9,767,681 "
Archuleta,"$674,209 "
Boulder,"$7,108,509 "
Chaffee,"$414,799 "
Clear Creek,"$635,452 "
Conejos,"$420,899 "
Costilla,"$290,897 "
Denver,"$31,107,951 "
Eagle,"$1,585,551 "
El Paso,NR
Garfield,"$1,597,913 "
Gilpin,"$197,020 "
Grand,"$601,523 "
Gunnison,"$608,092 "
Huerfano,NR
Jefferson,"$4,117,404 "
Lake,NR
La Plata,"$1,927,562 "
Larimer,"$6,156,122 "
Las Animas,"$3,530,142 "
Mesa,"$1,498,547 "
Moffat,"$480,801 "
Montezuma,"$1,474,874 "
Morgan,"$953,463 "
Otero,NR
Ouray,"$572,783 "
Park,"$360,133 "
Pitkin,"$1,473,131 "
Pueblo,"$4,808,523 "
Routt,"$1,260,207 "
Saguache,"$131,127 "
San Juan,NR
San Miguel,"$532,640 "
Sedgwick,NR
Summit,"$2,884,654 "
Weld,"$2,228,972 "
Sum of NR Counties,"$2,595,552 "
