County,r1801
Adams,"$6,081,061 "
Arapahoe,"$9,032,907 "
Archuleta,"$624,455 "
Boulder,"$6,212,027 "
Chaffee,"$340,366 "
Clear Creek,"$596,376 "
Conejos,"$390,971 "
Costilla,"$246,490 "
Denver,"$28,855,834 "
Eagle,"$1,599,616 "
El Paso,NR
Garfield,"$1,391,402 "
Gilpin,"$167,184 "
Grand,"$462,433 "
Gunnison,"$600,542 "
Huerfano,NR
Jefferson,"$3,912,816 "
Lake,"$223,602 "
La Plata,"$1,675,203 "
Larimer,"$4,982,764 "
Las Animas,"$3,370,017 "
Mesa,"$1,069,286 "
Montezuma,"$1,514,572 "
Morgan,"$748,636 "
Ouray,"$409,591 "
Park,"$334,849 "
Pitkin,"$1,361,900 "
Pueblo,"$3,448,129 "
Routt,"$1,140,165 "
Saguache,"$99,344 "
San Juan,NR
San Miguel,"$484,986 "
Sedgwick,NR
Summit,"$2,841,769 "
Weld,"$2,300,531 "
Sum of NR Counties,"$2,210,090 "
