County,m1808
Adams,"$400,754"
Alamosa,NR
Arapahoe,"$808,360"
Archuleta,NR
Boulder,"$1,415,106"
Chaffee,NR
Clear Creek,NR
Denver,"$12,797,280"
Eagle,"$100,482"
El Paso,"$7,955,801"
Fremont,NR
Garfield,"$186,408"
Gilpin,NR
Grand,NR
Jefferson,"$1,286,756"
La Plata,NR
Larimer,"$1,030,583"
Las Animas,"$40,494"
Mesa,NR
Moffat,NR
Montezuma,"$97,884"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,NR
Pueblo,"$580,863"
Routt,"$157,402"
San Miguel,NR
Sedgwick,NR
Summit,"$104,527"
Weld,"$331,928"
Sum of NR Counties,"$1,029,234"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
