County,r1502
Adams,NR
Arapahoe,"$2,114,064"
Archuleta,NR
Boulder,"$3,209,140"
Chaffee,NR
Clear Creek,"$416,086"
Costilla,NR
Denver,"$14,411,812"
Eagle,"$735,296"
El Paso,NR
Garfield,"$535,881"
Gilpin,"$104,647"
Grand,NR
Gunnison,"$224,407"
Jefferson,"$1,960,725"
Lake,NR
La Plata,"$840,795"
Larimer,"$1,685,559"
Las Animas,"$287,148"
Mesa,NR
Montezuma,"$159,174"
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$705,757"
Pueblo,"$1,039,417"
Routt,NR
Saguache,NR
San Juan,NR
San Miguel,"$300,473"
Sedgwick,NR
Summit,"$1,393,552"
Weld,"$1,270,638"
Sum of NR Counties,"$4,448,618"
Total,"$35,843,189"
,
,
