County,r1608
Adams,"$4,444,010"
Arapahoe,"$9,084,765"
Archuleta,NR
Boulder,"$6,420,613"
Chaffee,NR
Clear Creek,"$660,536"
Conejos,"$424,132"
Costilla,"$369,689"
Denver,"$27,642,402"
Eagle,"$1,120,217"
El Paso,NR
Garfield,"$1,712,513"
Gilpin,"$284,116"
Grand,"$401,001"
Gunnison,"$477,649"
Huerfano,NR
Jefferson,"$4,468,831"
Lake,"$297,877"
La Plata,"$2,212,954"
Larimer,"$4,318,202"
Las Animas,"$2,193,813"
Mesa,NR
Montezuma,"$1,297,984"
Morgan,NR
Ouray,"$492,384"
Park,"$378,230"
Pitkin,"$1,017,858"
Pueblo,"$2,940,830"
Routt,"$888,583"
Saguache,NR
San Juan,NR
San Miguel,"$411,794"
Sedgwick,NR
Summit,"$1,702,918"
Weld,"$2,444,651"
Sum of NR Counties,"$5,946,811"
Total,"$84,055,363 "
