County,m1901
Adams,"$514,409 "
Alamosa,NR
Arapahoe,"$828,405 "
Boulder,"$1,294,791 "
Chaffee,NR
Clear Creek,NR
Denver,"$11,175,378 "
Eagle,NR
El Paso,"$7,599,829 "
Fremont,"$130,215 "
Garfield,"$137,449 "
Grand,NR
Jefferson,"$1,227,664 "
La Plata,NR
Larimer,"$823,904 "
Las Animas,"$23,705 "
Mesa,NR
Moffat,NR
Montezuma,"$46,888 "
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,NR
Pueblo,"$564,784 "
Routt,"$139,096 "
San Miguel,NR
Sedgwick,NR
Summit,"$96,743 "
Weld,"$324,991 "
Sum of NR Counties,"$752,346 "
