County,r1604
Adams,"$3,187,313"
Arapahoe,"$7,531,661"
Archuleta,NR
Boulder,"$5,082,136"
Chaffee,"$300,638"
Clear Creek,"$423,714"
Conejos,"$221,411"
Costilla,"$184,198"
Denver,"$22,606,396"
Eagle,"$820,436"
El Paso,NR
Garfield,"$1,153,014"
Gilpin,"$190,800"
Grand,"$233,601"
Gunnison,"$325,678"
Huerfano,NR
Jefferson,"$3,572,554"
Lake,NR
La Plata,"$1,598,561"
Larimer,"$3,233,416"
Las Animas,"$1,258,520"
Mesa,NR
Montezuma,"$727,306"
Morgan,NR
Ouray,NR
Park,"$199,423"
Pitkin,"$501,414"
Pueblo,"$2,069,169"
Routt,"$550,366"
Saguache,NR
San Juan,NR
San Miguel,"$138,111"
Sedgwick,NR
Summit,"$1,391,044"
Weld,"$2,029,498"
Sum of NR Counties,"$4,310,950"
Total,"$63,841,328 "
