County,m1801
Adams,"$803,293"
Alamosa,NR
Arapahoe,"$844,394"
Archuleta,NR
Boulder,"$1,647,031"
Chaffee,NR
Clear Creek,"$29,971"
Denver,"$13,211,845"
Eagle,"$132,762"
El Paso,"$7,661,315"
Fremont,"$134,858"
Garfield,"$249,651"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,278,807"
La Plata,"$273,077"
Larimer,"$1,122,353"
Las Animas,"$44,461"
Mesa,NR
Moffat,NR
Montezuma,"$54,617"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$65,391"
Pueblo,"$531,897"
Routt,"$165,408"
San Miguel,NR
Sedgwick,NR
Summit,"$118,928"
Weld,"$348,569"
Sum of NR Counties,"$544,682 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
