County,r1506
Adams,NR
Arapahoe,"$3,753,244"
Archuleta,NR
Boulder,"$4,273,572"
Chaffee,NR
Clear Creek,"$441,514"
Costilla,NR
Denver,"$17,280,785"
Eagle,"$534,649"
El Paso,NR
Garfield,"$798,425"
Gilpin,"$183,787"
Grand,"$142,695"
Gunnison,"$273,865"
Huerfano,NR
Jefferson,"$2,584,940"
Lake,NR
La Plata,"$1,283,234"
Larimer,"$2,321,397"
Las Animas,"$714,276"
Mesa,NR
Montezuma,"$463,559"
Morgan,NR
Ouray,NR
Park,"$191,938"
Pitkin,"$570,064"
Pueblo,"$1,517,777"
Routt,"$485,969"
Saguache,NR
San Juan,NR
San Miguel,"$315,531"
Sedgwick,NR
Summit,"$925,580"
Weld,"$1,693,656"
Sum of NR Counties,"$5,709,761"
Total,"$46,460,218"
,
