County,r1606
Adams,"$3,434,567"
Arapahoe,"$7,565,406"
Archuleta,NR
Boulder,"$5,541,278"
Chaffee,"$455,848"
Clear Creek,"$553,669"
Conejos,"$332,403"
Costilla,"$265,269"
Denver,"$21,841,675"
Eagle,"$842,569"
El Paso,NR
Garfield,"$1,333,408"
Gilpin,"$243,952"
Grand,"$261,059"
Gunnison,"$479,935"
Huerfano,NR
Jefferson,"$3,753,947"
Lake,"$206,574"
La Plata,"$1,939,519"
Larimer,"$3,648,840"
Las Animas,"$1,622,815"
Mesa,NR
Montezuma,"$914,168"
Morgan,"$549,251"
Ouray,NR
Park,"$299,449"
Pitkin,"$673,427"
Pueblo,"$2,365,115"
Routt,"$649,366"
Saguache,NR
San Juan,NR
San Miguel,"$329,083"
Sedgwick,NR
Summit,"$1,253,529"
Weld,"$2,024,804"
Sum of NR Counties,"$4,500,938"
Total,"$67,881,863 "
