County,m1711
Adams,"$999,483"
Alamosa,NR
Arapahoe,"$755,136"
Archuleta,NR
Boulder,"$1,770,651"
Chaffee,NR
Clear Creek,"$38,372"
Denver,"$15,704,331"
Eagle,"$118,682"
El Paso,"$7,652,843"
Fremont,"$133,101"
Garfield,"$243,896"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,302,651"
La Plata,"$278,348"
Larimer,"$1,095,959"
Las Animas,"$36,449"
Mesa,NR
Moffat,NR
Montezuma,"$54,431"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$53,994"
Pueblo,"$501,175"
Routt,NR
San Miguel,NR
Sedgwick,NR
Summit,"$114,788"
Weld,"$351,629"
Sum of NR Counties,"$672,549 "
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
