County,m1508
Adams,"$414,843"
Alamosa,NR
Arapahoe,"$1,782,767"
Archuleta,NR
Boulder,"$2,854,869"
Chaffee,NR
Clear Creek,"$99,241"
Costilla,NR
Denver,"$18,920,270"
Eagle,"$321,194"
El Paso,"$8,703,525"
Fremont,"$247,910"
Garfield,"$623,488"
Gilpin,"$33,160"
Grand,NR
Gunnison,NR
Jefferson,"$2,119,709"
La Plata,"$468,119"
Larimer,"$1,506,663"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$141,894"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$100,615"
Pueblo,"$879,622"
Routt,"$197,957"
San Miguel,"$48,630"
Sedgwick,NR
Summit,"$237,146"
Teller,NR
Weld,"$429,172 "
Sum of NR Counties,688574
Total,40819368
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
