County,m1704
Adams,"$1,170,547"
Alamosa,NR
Arapahoe,"$1,171,574"
Archuleta,NR
Boulder,"$2,002,527"
Chaffee,NR
Clear Creek,"$53,972"
Costilla,NR
Denver,"$19,101,844"
Eagle,"$160,790"
El Paso,"$8,978,250"
Fremont,"$178,131"
Garfield,"$307,340"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,408,453"
La Plata,"$347,940"
Larimer,"$1,235,650"
Las Animas,"$30,610"
Mesa,NR
Moffat,NR
Montezuma,"$72,479"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,NR
Pueblo,"$583,583"
Routt,NR
San Miguel,"$18,710"
Sedgwick,NR
Summit,"$141,152"
Teller,NR
Weld,293539
Sum of NR Counties,792301
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
