County,m1812
Adams,"$537,919"
Alamosa,NR
Arapahoe,"$840,436"
Boulder,"$2,077,359"
Chaffee,NR
Clear Creek,NR
Denver,"$13,218,281"
Eagle,"$98,078"
El Paso,"$7,377,264"
Fremont,NR
Garfield,"$149,089"
Grand,NR
Jefferson,"$1,149,072"
La Plata,NR
Larimer,"$917,137"
Las Animas,"$24,868"
Mesa,NR
Moffat,NR
Montezuma,"$51,687"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$50,018"
Pueblo,"$655,858"
Routt,"$131,134"
San Miguel,NR
Sedgwick,NR
Summit,"$97,292"
Weld,"$353,590"
Sum of NR Counties,"$1,517,672"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
