County,r1504
Adams,"$1,611,106"
Arapahoe,"$3,257,101"
Archuleta,NR
Boulder,"$3,973,545"
Chaffee,"$250,729"
Clear Creek,"$365,896"
Costilla,NR
Denver,"$18,946,519"
Eagle,"$516,095"
El Paso,NR
Garfield,"$644,631"
Gilpin,"$130,946"
Grand,NR
Gunnison,"$160,176"
Jefferson,"$2,429,996"
Lake,NR
La Plata,"$930,516"
Larimer,"$2,045,132"
Las Animas,"$471,514"
Mesa,NR
Montezuma,"$313,150"
Morgan,NR
Ouray,NR
Park,"$121,375"
Pitkin,"$426,689"
Pueblo,"$1,318,252"
Routt,"$433,152"
Saguache,NR
San Juan,NR
San Miguel,"$150,531"
Sedgwick,NR
Summit,"$953,219"
Weld,"$1,521,411"
Sum of NR Counties,"$2,861,263"
Total,"$43,832,944"
,
,
