County,m1706
Adams,"$1,091,425"
Alamosa,NR
Arapahoe,"$1,033,427"
Archuleta,NR
Boulder,"$1,846,713"
Chaffee,NR
Clear Creek,"$57,869"
Costilla,NR
Denver,"$17,634,832"
Eagle,"$129,118"
El Paso,"$9,117,656"
Fremont,"$179,179"
Garfield,"$292,213"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,252,570"
La Plata,"$294,220"
Larimer,"$1,134,167"
Las Animas,"$32,972"
Mesa,NR
Moffat,NR
Montezuma,"$81,402"
Montrose,NR
Morgan,NR
Otero,NR
Ouray,NR
Park,NR
Pitkin,"$69,389"
Pueblo,"$707,393"
Routt,NR
San Miguel,"$24,094"
Sedgwick,NR
Summit,"$104,603"
Teller,NR
Weld,301813
Sum of NR Counties,740523
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
