County,m1506
Adams,"$441,872"
Alamosa,NR
Arapahoe,"$1,525,525"
Archuleta,NR
Boulder,"$2,363,534"
Chaffee,NR
Clear Creek,"$90,303"
Costilla,NR
Denver,"$16,545,160"
Eagle,"$259,462"
El Paso,"$7,050,814"
Fremont,"$205,924"
Garfield,"$430,562"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,833,049"
La Plata,"$425,100"
Larimer,"$1,219,011"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$127,877"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$77,058"
Pueblo,"$569,375"
Routt,"$159,915"
San Miguel,"$51,852"
Sedgwick,NR
Summit,"$215,753"
Teller,NR
Weld,"$287,920 "
Sum of NR Counties,672330
Total,34552396
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
