County,m1611
Adams,"$529,977"
Alamosa,NR
Arapahoe,"$1,458,869"
Archuleta,NR
Boulder,"$2,099,029"
Chaffee,NR
Clear Creek,"$70,063"
Costilla,NR
Denver,"$17,182,972"
Eagle,"$150,334"
El Paso,"$8,011,818"
Fremont,NR
Garfield,"$317,199"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,474,361"
La Plata,"$339,564"
Larimer,"$1,211,727"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$62,866"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$60,322"
Pueblo,"$659,236"
Routt,"$168,346"
San Miguel,"$30,453"
Sedgwick,NR
Summit,NR
Teller,NR
Weld,NR
Sum of NR Counties,1012303
Total,34839439
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
