County,m1610
Adams,"$416,490"
Alamosa,NR
Arapahoe,"$1,472,572"
Archuleta,NR
Boulder,"$2,202,702"
Chaffee,NR
Clear Creek,"$69,509"
Costilla,NR
Denver,"$17,196,445"
Eagle,"$173,346"
El Paso,"$8,569,109"
Fremont,"$189,039"
Garfield,"$342,751"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,637,140"
La Plata,"$376,178"
Larimer,"$1,303,215"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$65,684"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$71,227"
Pueblo,"$645,119"
Routt,"$205,695"
San Miguel,"$40,475"
Sedgwick,NR
Summit,"$156,993"
Teller,NR
Weld,"$242,582 "
Sum of NR Counties,564284
Total,35940555
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
