County,m1402
Adams,"$454,940"
Alamosa,NR
Arapahoe,"$1,210,155"
Archuleta,NR
Boulder,"$3,345,413"
Chaffee,NR
Clear Creek,"$111,164"
Costilla,NR
Denver,"$14,680,476"
Eagle,"$185,360"
El Paso,"$5,116,438"
Fremont,"$215,839"
Garfield,"$373,432"
Gilpin,"$32,325"
Grand,NR
Gunnison,NR
Jefferson,"$2,044,484"
La Plata,"$521,985"
Larimer,"$1,009,841"
Mesa,NR
Moffat,NR
Montezuma,"$103,266"
Montrose,NR
Ouray,NR
Park,NR
Pitkin,"$161,237"
Pueblo,"$418,489"
Routt,"$209,165"
San Miguel,"$94,099"
Sedgwick,NR
Summit,"$244,818"
Teller,NR
Weld,"$671,024"
Sum of NR Counties,"$534,622"
Total,"$31,738,572 "
