County,r1706
Adams,"$5,137,782 "
Arapahoe,"$9,314,356 "
Archuleta,"$691,943 "
Boulder,"$6,880,933 "
Chaffee,"$559,238 "
Clear Creek,"$581,672 "
Conejos,"$510,132 "
Costilla,"$403,056 "
Denver,"$31,586,804 "
Eagle,"$916,059 "
El Paso,NR
Garfield,"$2,042,113 "
Gilpin,"$256,404 "
Grand,"$330,529 "
Gunnison,"$522,302 "
Huerfano,NR
Jefferson,"$4,405,653 "
Lake,"$248,265 "
La Plata,"$2,206,045 "
Larimer,"$4,929,421 "
Las Animas,"$3,836,814 "
Mesa,NR
Montezuma,"$1,863,923 "
Morgan,"$860,998 "
Ouray,"$583,159 "
Park,"$375,371 "
Pitkin,"$880,604 "
Pueblo,"$3,465,138 "
Routt,"$796,881 "
Saguache,NR
San Juan,NR
San Miguel,"$397,687 "
Sedgwick,NR
Summit,"$1,503,046 "
Weld,"$2,545,979 "
Sum of NR Counties,"$4,193,332 "
