County,r1711
Adams,"$5,558,469 "
Arapahoe,"$9,034,873 "
Archuleta,"$508,490 "
Boulder,"$6,329,971 "
Chaffee,"$347,798 "
Clear Creek,"$453,940 "
Conejos,"$424,081 "
Costilla,"$247,946 "
Denver,"$31,195,308 "
Eagle,"$980,728 "
El Paso,NR
Garfield,"$1,581,537 "
Gilpin,"$188,913 "
Grand,"$272,045 "
Gunnison,"$433,357 "
Huerfano,NR
Jefferson,"$3,678,694 "
Lake,"$174,191 "
La Plata,"$1,753,119 "
Larimer,"$5,125,412 "
Las Animas,"$3,956,545 "
Mesa,"$963,023 "
Montezuma,"$1,658,451 "
Morgan,"$880,963 "
Ouray,NR
Park,"$323,525 "
Pitkin,"$571,977 "
Pueblo,"$3,320,340 "
Routt,"$661,206 "
Saguache,"$95,793 "
San Juan,NR
San Miguel,"$181,166 "
Sedgwick,NR
Summit,"$1,411,797 "
Weld,"$2,433,403 "
Sum of NR Counties,"$2,942,248 "
