County,r1512
Adams,"$2,706,310"
Arapahoe,"$6,055,214"
Archuleta,NR
Boulder,"$4,621,551"
Chaffee,NR
Clear Creek,"$492,005"
Conejos,NR
Costilla,NR
Denver,"$19,339,032"
Eagle,"$948,426"
El Paso,NR
Garfield,"$801,776"
Gilpin,"$145,319"
Grand,"$274,910"
Gunnison,"$365,817"
Huerfano,NR
Jefferson,"$3,153,194"
Lake,NR
La Plata,"$1,460,381"
Larimer,"$2,818,206"
Las Animas,"$921,083"
Mesa,NR
Montezuma,"$559,469"
Morgan,NR
Ouray,NR
Park,"$188,927"
Pitkin,"$895,847"
Pueblo,"$1,530,280"
Routt,"$655,561"
Saguache,NR
San Juan,NR
San Miguel,"$275,068"
Sedgwick,NR
Summit,"$1,750,307"
Weld,"$1,849,039"
Sum of NR Counties,"$4,269,280"
Total,"$56,077,002 "
