County,m1606
Adams,"$379,841"
Alamosa,NR
Arapahoe,"$1,485,581"
Archuleta,NR
Boulder,"$2,271,053"
Chaffee,NR
Clear Creek,"$68,418"
Costilla,NR
Denver,"$18,632,737"
Eagle,"$211,161"
El Paso,"$8,443,101"
Fremont,"$212,028"
Garfield,"$426,581"
Gilpin,NR
Grand,NR
Gunnison,NR
Jefferson,"$1,538,630"
La Plata,"$441,148"
Larimer,"$1,222,737"
Las Animas,NR
Mesa,NR
Moffat,NR
Montezuma,"$96,553"
Montrose,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,"$94,197"
Pueblo,"$1,386,239"
Routt,"$140,614"
San Miguel,"$43,855"
Sedgwick,NR
Summit,"$153,626"
Teller,NR
Weld,"$301,573 "
Sum of NR Counties,627877
Total,38177550
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
