County,m1811
Adams,"$475,793"
Alamosa,NR
Arapahoe,"$793,814"
Boulder,"$1,277,657"
Chaffee,NR
Clear Creek,"$23,148"
Denver,"$11,829,016"
Eagle,"$84,221"
El Paso,"$7,203,476"
Fremont,"$112,642"
Garfield,"$118,710"
Grand,NR
Jefferson,"$1,305,975"
La Plata,NR
Larimer,"$894,188"
Las Animas,"$23,048"
Mesa,NR
Moffat,NR
Montezuma,"$45,252"
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$33,385"
Pueblo,"$602,548"
Routt,"$125,491"
San Miguel,NR
Sedgwick,NR
Summit,"$90,339"
Weld,"$350,896"
Sum of NR Counties,"$673,208"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
