County,r1804
Adams,"$6,868,698 "
Arapahoe,"$9,954,701 "
Archuleta,"$502,525 "
Boulder,"$6,957,538 "
Chaffee,"$393,528 "
Clear Creek,"$490,554 "
Conejos,"$435,677 "
Costilla,"$292,932 "
Denver,"$33,791,852 "
Eagle,"$1,144,193 "
El Paso,NR
Garfield,"$1,503,426 "
Gilpin,"$212,366 "
Grand,"$343,222 "
Gunnison,"$437,758 "
Huerfano,NR
Jefferson,"$4,142,771 "
Lake,"$197,779 "
La Plata,"$1,863,227 "
Larimer,"$5,632,150 "
Las Animas,"$3,934,794 "
Mesa,"$1,482,947 "
Moffat,NR
Montezuma,"$1,905,829 "
Morgan,NR
Ouray,NR
Park,"$325,805 "
Pitkin,"$699,425 "
Pueblo,"$4,436,171 "
Routt,"$790,286 "
Saguache,"$137,104 "
San Juan,NR
San Miguel,"$219,836 "
Sedgwick,NR
Summit,"$1,543,168 "
Weld,"$2,421,030 "
Sum of NR Counties,"$4,229,514 "
