County,r1705
Adams,"$5,013,781 "
Arapahoe,"$9,370,054 "
Archuleta,NR
Boulder,"$6,368,428 "
Chaffee,"$433,627 "
Clear Creek,"$460,991 "
Conejos,"$444,090 "
Costilla,"$332,894 "
Denver,"$30,503,582 "
Eagle,"$689,235 "
El Paso,NR
Garfield,"$1,911,323 "
Gilpin,"$196,823 "
Grand,"$218,635 "
Gunnison,"$444,435 "
Huerfano,NR
Jefferson,"$4,370,646 "
La Plata,"$1,980,269 "
Lake,"$197,459 "
Larimer,"$4,562,024 "
Las Animas,"$3,471,581 "
Mesa,NR
Montezuma,"$1,766,079 "
Morgan,"$841,413 "
Ouray,"$465,454 "
Park,"$314,186 "
Pitkin,"$485,392 "
Pueblo,"$3,276,386 "
Routt,"$634,839 "
Saguache,NR
San Juan,NR
San Miguel,"$189,132 "
Sedgwick,NR
Summit,"$1,140,913 "
Weld,"$2,587,473 "
Sum of NR Counties,"$4,341,381 "
