County,r1411
Adams,"$1,304,091"
Arapahoe,"$805,369"
Archuleta,NR
Boulder,"$3,196,349"
Chaffee,NR
Clear Creek,"$298,012"
Costilla,NR
Denver,"$13,742,869"
Eagle,"$373,883"
El Paso,NR
Garfield,"$507,297"
Gilpin,NR
Grand,NR
Gunnison,"$133,062"
Jefferson,"$1,679,786"
Lake,NR
La Plata,"$647,493 "
Larimer,1493948
Las Animas,NR
Morgan,NR
Ouray,NR
Park,NR
Pitkin,216781
Pueblo,1137217
Routt,NR
Saguache,NR
San Miguel,169659
Sedgwick,NR
Summit,706675
Weld,992006
Sum of NR Counties,2065629
Total,29470126
