County,m19905
Adams,"$688,338"
Alamosa,NR
Arapahoe,"$866,549"
Boulder,"$1,156,589"
Chaffee,NR
Clear Creek,NR
Denver,"$12,805,536"
Eagle,"$86,267"
El Paso,"$9,306,251"
Fremont,NR
Garfield,"$126,620"
Grand,NR
Jefferson,"$1,355,225"
La Plata,NR
Larimer,"$800,165"
Las Animas,"$64,389"
Mesa,NR
Moffat,NR
Montezuma,NR
Montrose,NR
Morgan,NR
Otero,NR
Park,NR
Pitkin,"$55,475"
Pueblo,"$777,080"
Routt,"$137,484"
San Miguel,NR
Sedgwick,NR
Summit,"$82,717"
Weld,"$313,835"
Sum of NR Counties,"$823,838"
